Round Number,Date,Location,Home Team,Away Team,Result
6,28/01/2021 02:00,PHX Arena,Phoenix Suns,Oklahoma City Thunder,
6,28/01/2021 02:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,
6,28/01/2021 03:00,Chase Center,Golden State Warriors,Minnesota Timberwolves,
6,29/01/2021 00:00,Little Caesars Arena,Detroit Pistons,Los Angeles Lakers,
6,29/01/2021 00:00,AmericanAirlines Arena,Miami Heat,Los Angeles Clippers,
6,29/01/2021 02:00,PHX Arena,Phoenix Suns,Golden State Warriors,
6,29/01/2021 02:30,Toyota Center,Houston Rockets,Portland Trail Blazers,
6,30/01/2021 00:00,Spectrum Center,Charlotte Hornets,Indiana Pacers,
6,30/01/2021 00:00,Amway Center,Orlando Magic,Los Angeles Clippers,
6,30/01/2021 00:00,Capital One Arena,Washington Wizards,Atlanta Hawks,
6,30/01/2021 00:30,Madison Square Garden,New York Knicks,Cleveland Cavaliers,
6,30/01/2021 00:30,Amalie Arena,Toronto Raptors,Sacramento Kings,
6,30/01/2021 00:30,Smoothie King Center,New Orleans Pelicans,Milwaukee Bucks,
6,30/01/2021 01:00,Target Center,Minnesota Timberwolves,Philadelphia 76ers,
6,30/01/2021 01:00,Chesapeake Energy Arena,Oklahoma City Thunder,Brooklyn Nets,
6,30/01/2021 01:30,AT&T Center,San Antonio Spurs,Denver Nuggets,
6,30/01/2021 03:00,Vivint Smart Home Arena,Utah Jazz,Dallas Mavericks,
6,30/01/2021 22:00,United Center,Chicago Bulls,Portland Trail Blazers,
6,31/01/2021 00:00,Spectrum Center,Charlotte Hornets,Milwaukee Bucks,
6,31/01/2021 00:00,Smoothie King Center,New Orleans Pelicans,Houston Rockets,
6,31/01/2021 01:00,AmericanAirlines Arena,Miami Heat,Sacramento Kings,
6,31/01/2021 01:30,TD Garden,Boston Celtics,Los Angeles Lakers,
6,31/01/2021 01:30,American Airlines Center,Dallas Mavericks,Phoenix Suns,
6,31/01/2021 01:30,AT&T Center,San Antonio Spurs,Memphis Grizzlies,
6,31/01/2021 01:30,Chase Center,Golden State Warriors,Detroit Pistons,
6,31/01/2021 20:30,Ball Arena,Denver Nuggets,Utah Jazz,
6,31/01/2021 22:00,Bankers Life Fieldhouse,Indiana Pacers,Philadelphia 76ers,
6,31/01/2021 22:00,Madison Square Garden,New York Knicks,Los Angeles Clippers,
6,31/01/2021 23:00,Amalie Arena,Toronto Raptors,Orlando Magic,
6,01/02/2021 00:00,Capital One Arena,Washington Wizards,Brooklyn Nets,
6,01/02/2021 00:30,Target Center,Minnesota Timberwolves,Cleveland Cavaliers,
